node,degree_centrality,closeness_centrality,clustering_coefficient
"(-1.691, 14.455, -0.25)",0.03409090909090909,0.12446958981612447,0.3333333333333333
"(-2.678, 13.87, -0.25)",0.03409090909090909,0.14035087719298245,0.6666666666666666
"(2.309, 13.79, -0.25)",0.03409090909090909,0.15520282186948853,0.0
"(2.309, 15.79, -0.25)",0.03409090909090909,0.13517665130568357,0.0
"(2.309, 14.79, -0.25)",0.03409090909090909,0.1456953642384106,0.0
"(-1.691, 13.205, -0.25)",0.03409090909090909,0.16029143897996356,0.3333333333333333
"(2.308, 12.745, -0.25)",0.03409090909090909,0.16417910447761194,0.0
"(-0.063, 13.79, -0.25)",0.03409090909090909,0.14035087719298245,0.0
"(-1.199, 9.79, -0.25)",0.03409090909090909,0.16176470588235295,0.0
"(-1.775, 10.79, -0.25)",0.03409090909090909,0.11796246648793565,0.6666666666666666
"(-1.775, 11.79, -0.25)",0.03409090909090909,0.11796246648793565,0.6666666666666666
"(-1.691, 4.79, -0.25)",0.03409090909090909,0.11972789115646258,0.3333333333333333
"(2.309, 9.79, -0.25)",0.03409090909090909,0.15798922800718132,0.0
"(-1.199, 8.79, -0.25)",0.03409090909090909,0.15411558669001751,0.0
"(0.309, 4.79, -0.25)",0.03409090909090909,0.12307692307692308,0.0
"(-1.775, 9.79, -0.25)",0.03409090909090909,0.11796246648793565,0.6666666666666666
"(2.309, 6.79, -0.25)",0.03409090909090909,0.1301775147928994,0.0
"(2.309, 5.79, -0.25)",0.03409090909090909,0.11907983761840325,0.0
"(1.309, 4.79, -0.25)",0.03409090909090909,0.11780455153949129,0.0
"(-0.691, 4.79, -0.25)",0.03409090909090909,0.11924119241192412,0.0
"(-1.199, 12.629, -0.25)",0.022727272727272728,0.1682600382409178,0.0
"(-0.063, 14.455, -0.25)",0.022727272727272728,0.12411847672778561,0.0
"(-0.063, 13.205, -0.25)",0.022727272727272728,0.15970961887477314,0.0
"(-1.775, 12.629, -0.25)",0.022727272727272728,0.11780455153949129,1.0
"(2.309, 4.79, -0.25)",0.022727272727272728,0.10918114143920596,0.0
